Game Turn, Player, System, Tree, Node, Result, Data
2, 3, City LOC_CITY_NAME_BOGOTA, Simple City Tree, SUCCESS, Concurrent, 
2, 3, City LOC_CITY_NAME_BOGOTA, Simple City Tree, FAILURE, City Attack, Cannot attack
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, RUNNING, Sequence, 
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, READY, Decode Trigger, Unit: UNIT_TRADER; Value: 0
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, RUNNING, Turn Limiter, Child running 1 of 6 turns
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, RUNNING, Add Goal Tech, CIVIC_FOREIGN_TRADE: Accepted
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, READY, Contract Manager Decorator, No contract,
2, 3, Seek Tech Boost TECH_CURRENCY, Build Trigger Unit, READY, Build Unit, Not Building
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, RUNNING, Sequence, 
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, SUCCESS, Decode Trigger, Unit: UNIT_SLINGER; Value: 24
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, SUCCESS, Turn Limiter, Child running 0 of 6 turns
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, SUCCESS, Add Goal Tech, No tech submitted/No civic submitted
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, RUNNING, Contract Manager Decorator, No contract,
2, 3, Seek Tech Boost TECH_ARCHERY, Build Trigger Unit, RUNNING, Build Unit, UNIT_SLINGER: Accepted at 24.0
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, RUNNING, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, SUCCESS, Decode Trigger, Building: BUILDING_MONUMENT; Value: 21
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, SUCCESS, Contract Manager Decorator, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, SUCCESS, Add Goal Tech, No tech submitted/No civic submitted
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, RUNNING, Contract Manager Decorator, No contract,
2, 3, City LOC_CITY_NAME_BOGOTA, Build City Building, RUNNING, Build Unit, BUILDING_MONUMENT: Accepted at 21.0
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, RUNNING, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, SUCCESS, Decode Trigger, District: DISTRICT_CAMPUS; Value: 141
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, RUNNING, Concurrent, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, SUCCESS, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, SUCCESS, Contract Manager Decorator, No contract,
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, SUCCESS, Purchase Plot, Not Buying anything
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, SUCCESS, Reserve Plot, Reserving plot 15 22
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, RUNNING, Contract Manager Decorator, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, RUNNING, Add Goal Tech, TECH_WRITING: Accepted/No civic submitted
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Priority, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Check Plot, Plot 15 22: FEATURE_FLOODPLAINS
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Contract Manager Decorator, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Add Goal Tech, No tech submitted/No civic submitted
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Priority, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Find Available Unit, Not seeking units
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Concurrent, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Protect Unit, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Move Unit, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Clear Plot, Clearing with 0
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Reserve Plot, Reserving plot -9999 -9999
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Concurrent, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Contract Manager Decorator, No contract,
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Build Unit, Not Building
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Has Player Ability, --, Wonders, Failed
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Contract Manager Decorator, No contract,
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Sequence, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Priority, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Find Available Unit, 
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Contract Manager Decorator, No contract,
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Build Unit, Not Building
2, 3, City LOC_CITY_NAME_BOGOTA, Build City District, READY, Cancel Contract, No contract
