Game Turn, Player, Action, Policy, Score, Turns
2, 3, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 3, Civic, CIVIC_CRAFTSMANSHIP, 147.4, 22
2, 3, Civic, CIVIC_FOREIGN_TRADE, 161.3, 17
2, 3, Civic, CIVIC_MILITARY_TRADITION, 211.3, 40
2, 3, Civic, CIVIC_STATE_WORKFORCE, 171.6, 48
2, 3, Civic, CIVIC_EARLY_EMPIRE, 189.3, 43
2, 3, Civic, CIVIC_MYSTICISM, 214.3, 35
2, 3, Policies, POLICY_GOD_KING, 19.0
2, 3, Policies, POLICY_URBAN_PLANNING, 18.0
2, 3, Policies, POLICY_ILKUM, 1.0
2, 3, Policies, POLICY_INSPIRATION, 15.0
2, 3, Policies, POLICY_REVELATION, 15.0
2, 5, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 5, Civic, CIVIC_CRAFTSMANSHIP, 147.4, 22
2, 5, Civic, CIVIC_FOREIGN_TRADE, 147.4, 22
2, 5, Civic, CIVIC_MILITARY_TRADITION, 211.3, 40
2, 5, Civic, CIVIC_STATE_WORKFORCE, 171.6, 48
2, 5, Civic, CIVIC_EARLY_EMPIRE, 170.4, 48
2, 5, Civic, CIVIC_MYSTICISM, 189.3, 40
2, 5, Policies, POLICY_GOD_KING, 19.0
2, 5, Policies, POLICY_URBAN_PLANNING, 18.0
2, 5, Policies, POLICY_ILKUM, 2.0
2, 5, Policies, POLICY_INSPIRATION, 15.0
2, 5, Policies, POLICY_REVELATION, 15.0
2, 7, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 7, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 7, Civic, CIVIC_FOREIGN_TRADE, 158.3, 18
2, 7, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 7, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 7, Civic, CIVIC_EARLY_EMPIRE, 182.5, 45
2, 7, Civic, CIVIC_MYSTICISM, 204.0, 38
2, 7, Policies, POLICY_GOD_KING, 21.0
2, 7, Policies, POLICY_URBAN_PLANNING, 14.0
2, 8, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 8, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 8, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 8, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 8, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 8, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 8, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 8, Policies, POLICY_GOD_KING, 21.0
2, 8, Policies, POLICY_URBAN_PLANNING, 14.0
2, 9, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 9, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 9, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 9, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 9, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 9, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 9, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 9, Policies, POLICY_GOD_KING, 21.0
2, 9, Policies, POLICY_URBAN_PLANNING, 14.0
2, 10, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 10, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 10, Civic, CIVIC_FOREIGN_TRADE, 158.3, 18
2, 10, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 10, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 10, Civic, CIVIC_EARLY_EMPIRE, 182.5, 45
2, 10, Civic, CIVIC_MYSTICISM, 204.0, 38
2, 10, Policies, POLICY_GOD_KING, 21.0
2, 10, Policies, POLICY_URBAN_PLANNING, 14.0
2, 11, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 11, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 11, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 11, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 11, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 11, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 11, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 11, Policies, POLICY_GOD_KING, 21.0
2, 11, Policies, POLICY_URBAN_PLANNING, 14.0
2, 12, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 12, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 12, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 12, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 12, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 12, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 12, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 12, Policies, POLICY_GOD_KING, 21.0
2, 12, Policies, POLICY_URBAN_PLANNING, 14.0
2, 13, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 13, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 13, Civic, CIVIC_FOREIGN_TRADE, 158.3, 18
2, 13, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 13, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 13, Civic, CIVIC_EARLY_EMPIRE, 182.5, 45
2, 13, Civic, CIVIC_MYSTICISM, 204.0, 38
2, 13, Policies, POLICY_GOD_KING, 21.0
2, 13, Policies, POLICY_URBAN_PLANNING, 14.0
2, 14, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 14, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 14, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 14, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 14, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 14, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 14, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 14, Policies, POLICY_GOD_KING, 21.0
2, 14, Policies, POLICY_URBAN_PLANNING, 14.0
2, 15, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 15, Civic, CIVIC_CRAFTSMANSHIP, 146.9, 23
2, 15, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 15, Civic, CIVIC_MILITARY_TRADITION, 212.0, 43
2, 15, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 15, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 15, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 15, Policies, POLICY_GOD_KING, 21.0
2, 15, Policies, POLICY_URBAN_PLANNING, 14.0
2, 62, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
2, 62, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
2, 62, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
2, 62, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
2, 62, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
2, 62, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
2, 62, Civic, CIVIC_MYSTICISM, 123.7, 55
2, 0, Civic, CIVIC_CODE_OF_LAWS, 111.5, 3
2, 0, Civic, CIVIC_CRAFTSMANSHIP, 185.2, 13
2, 0, Civic, CIVIC_FOREIGN_TRADE, 185.2, 13
2, 0, Civic, CIVIC_MILITARY_TRADITION, 308.1, 26
2, 0, Civic, CIVIC_STATE_WORKFORCE, 242.8, 31
2, 0, Civic, CIVIC_EARLY_EMPIRE, 228.8, 31
2, 0, Civic, CIVIC_MYSTICISM, 269.6, 26
2, 0, Policies, POLICY_INSPIRATION, 15.0
2, 0, Policies, POLICY_REVELATION, 15.0
2, 2, Civic, CIVIC_CODE_OF_LAWS, 95.9, 7
2, 2, Civic, CIVIC_CRAFTSMANSHIP, 220.4, 23
2, 2, Civic, CIVIC_FOREIGN_TRADE, 146.9, 23
2, 2, Civic, CIVIC_MILITARY_TRADITION, 200.0, 43
2, 2, Civic, CIVIC_STATE_WORKFORCE, 146.9, 50
2, 2, Civic, CIVIC_EARLY_EMPIRE, 146.9, 50
2, 2, Civic, CIVIC_MYSTICISM, 179.5, 43
2, 2, Policies, POLICY_GOD_KING, 19.0
2, 2, Policies, POLICY_URBAN_PLANNING, 18.0
2, 2, Policies, POLICY_ILKUM, 1.0
2, 2, Policies, POLICY_INSPIRATION, 15.0
2, 2, Policies, POLICY_REVELATION, 15.0
