,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_BARBARIAN_RAIDER,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_AMERICAN_ROUGH_RIDER,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY
UNIT_SETTLER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_BUILDER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_TRADER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_MISSIONARY, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_APOSTLE, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_INQUISITOR, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_GURU, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_WARRIOR_MONK, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.27, 3.17, 4.23, 3.17, 3.20, 1.44, 1.44, 1.44, 1.00, 1.94, 2.20, 1.69, 100.00, 2.20, 0.93, 0.93, 1.94, 0.69, 0.93, 1.41, 100.00, 1.46, 0.88, 0.36, 0.67, 0.36, 0.69, 0.36, 0.59, 0.45, 100.00, 0.63, 0.21, 0.21, 0.21, 0.29, 0.18, 0.28, 0.28, 0.13, 0.11, 0.09, 0.12, 0.09, 100.00, 0.08, 0.16, 100.00, 0.02, 0.08, 0.06, 0.05, 0.04, 0.04, 0.04, 0.08, 0.05, 0.01, 0.01, 0.02, 82.58, 0.04, 0.09, 0.05, 0.05, 0.02, 0.04, 0.04, 82.58, 0.01, 0.01, 0.04, 0.05, 0.03, 1.69, 0.18, 0.63, 0.21, 1.53, 0.93, 0.93, 1.44, 0.07, 0.63, 0.16, 0.11, 0.13, 0.59, 0.45, 0.21, 3.17, 0.06, 100.00, 0.21, 100.00, 1.28, 0.48, 0.11, 0.01, 100.00, 0.14, 0.39, 0.09, 1.02, 0.32, 0.93, 0.28, 1.00, 0.14, 0.11, 0.09, 4.08, 1.79, 2.20, 100.00, 0.11, 1.95, 0.36, 2.14, 0.45, 0.43
UNIT_ARCHAEOLOGIST, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
UNIT_GREAT_GENERAL, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
