Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_MAORI_NAME, UNIT_WARRIOR (131073), 69, 10, 70, 15, 16640, 7ea7adb8
001, LOC_CIVILIZATION_MAORI_NAME, UNIT_WARRIOR (131073), 69, 12, 70, 14, 16384, 98212367
002, LOC_CIVILIZATION_GRAN_COLOMBIA_NAME, UNIT_WARRIOR (131073), 16, 23, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_GRAN_COLOMBIA_NAME, UNIT_WARRIOR (131073), 16, 23, -9999, -9999, 2368, ffffffff
002, LOC_CIVILIZATION_GRAN_COLOMBIA_NAME, UNIT_WARRIOR (131073), 16, 23, 17, 24, 320, 90d342dc
002, LOC_CIVILIZATION_GRAN_COLOMBIA_NAME, UNIT_WARRIOR (131073), 17, 24, -9999, -9999, 2112, ffffffff
002, LOC_CIVILIZATION_SCOTLAND_NAME, UNIT_WARRIOR (131073), 46, 21, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_SCOTLAND_NAME, UNIT_WARRIOR (131073), 46, 21, -9999, -9999, 2368, ffffffff
002, LOC_CIVILIZATION_SCOTLAND_NAME, UNIT_WARRIOR (131073), 46, 21, 47, 21, 320, 9ec8fd5d
002, LOC_CIVILIZATION_CARDIFF_NAME, UNIT_WARRIOR (131073), 30, 30, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CARDIFF_NAME, UNIT_WARRIOR (196610), 31, 32, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CARDIFF_NAME, UNIT_WARRIOR (131073), 30, 30, 29, 29, 256, a6ac0a5a
002, LOC_CIVILIZATION_CARDIFF_NAME, UNIT_WARRIOR (196610), 31, 32, 30, 34, 256, 1294427e
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (131073), 43, 28, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (196610), 43, 29, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (131073), 43, 28, 43, 30, 256, 9254ed84
002, LOC_CIVILIZATION_MEXICO_CITY_NAME, UNIT_WARRIOR (196610), 43, 29, 44, 30, 256, 85877047
002, LOC_CIVILIZATION_PRESLAV_NAME, UNIT_WARRIOR (131073), 13, 14, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_PRESLAV_NAME, UNIT_WARRIOR (196610), 13, 13, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_PRESLAV_NAME, UNIT_WARRIOR (131073), 13, 14, 12, 15, 256, 50cd725f
002, LOC_CIVILIZATION_PRESLAV_NAME, UNIT_WARRIOR (196610), 13, 13, 15, 14, 256, 80334380
002, LOC_CIVILIZATION_ANTANANARIVO_NAME, UNIT_WARRIOR (196610), 31, 24, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_ANTANANARIVO_NAME, UNIT_WARRIOR (131073), 30, 25, -9999, -9999, 2325, ffffffff
