[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.503] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.504] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.504] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.504] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
[1445898.504] Pathfinder Allocation, rows 46, columns 74, column buffer 592, row buffer 4048, total 299552
